"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","105.20","109.45","109.45","105.00","0.04K","-5.27%"
"Apr 23, 2020","111.05","112.00","113.60","110.65","0.04K","0.41%"
"Apr 22, 2020","110.60","109.65","112.10","109.65","0.12K","0.87%"
"Apr 21, 2020","109.65","113.00","113.55","109.35","8.79K","-3.52%"
"Apr 20, 2020","113.65","116.30","116.75","113.05","5.97K","-2.07%"
"Apr 17, 2020","116.05","118.30","119.60","115.70","10.69K","-2.15%"
"Apr 16, 2020","118.60","119.85","120.85","117.90","7.04K","-1.33%"
"Apr 15, 2020","120.20","117.00","121.20","114.60","9.06K","2.56%"
"Apr 14, 2020","117.20","119.90","120.35","115.75","14.62K","-2.13%"
"Apr 13, 2020","119.75","118.95","120.60","116.60","14.23K","0.97%"
"Apr 09, 2020","118.60","120.00","122.00","116.90","21.97K","-1.00%"
"Apr 08, 2020","119.80","120.00","120.75","118.05","20.57K","-0.08%"
"Apr 07, 2020","119.90","117.05","120.90","117.00","22.94K","2.79%"
"Apr 06, 2020","116.65","114.85","117.80","112.40","18.79K","1.52%"
"Apr 03, 2020","114.90","118.55","119.20","114.30","15.08K","-3.73%"
"Apr 02, 2020","119.35","116.85","120.10","116.60","17.22K","2.89%"
"Apr 01, 2020","116.00","117.75","119.00","114.10","17.25K","-2.97%"
"Mar 31, 2020","119.55","118.65","120.40","116.40","14.19K","0.21%"
"Mar 30, 2020","119.30","116.20","120.85","116.20","14.43K","2.98%"
"Mar 27, 2020","115.85","123.35","123.35","115.65","19.52K","-7.06%"
"Mar 26, 2020","124.65","128.40","130.65","124.05","17.98K","-4.08%"
"Mar 25, 2020","129.95","126.20","130.40","122.35","25.57K","3.46%"
"Mar 24, 2020","125.60","121.45","126.05","120.80","21.15K","3.59%"
"Mar 23, 2020","121.25","120.65","124.90","116.60","26.99K","1.29%"
"Mar 20, 2020","119.70","114.00","120.05","114.00","24.83K","2.61%"
