Date,Linear Predicted,Ridge Predicted,Decision Predicted,Lasso Predicted,ElasticNet Predicted,Closing Price
1980-01-14,177.3085566816863,177.30839708947755,177.58,178.67709645279643,178.6737460244711,178.93
1980-01-15,174.21117288705807,174.21102704636002,173.45,174.52380298709053,174.52245775973861,173.36
1980-01-18,171.85030217165524,171.85016352204087,173.0,171.96547892439636,171.964292321772,173.79
1980-01-21,171.54472681538152,171.54459036546706,171.8,171.36628755527195,171.36564406913877,172.69
1980-01-24,163.3844633572171,163.38435057297764,165.4,163.36584562016847,163.36535888644988,165.07
1980-01-29,164.74340814862444,164.74329282573603,164.05,164.2942971245981,164.2943439039599,165.0
1980-02-06,166.07877396799114,166.0786576097104,167.05,165.81249581046936,165.81382026915873,167.6
1980-02-15,166.46088771614177,166.46077020764065,165.6,165.92440022350107,165.92565472023426,166.46
1980-02-21,168.1910818591329,168.19095869671733,168.61,167.46453663924754,167.4654474449334,168.46
1980-02-26,173.64425628234386,173.64411654167057,174.15,173.24423548535444,173.24477251013104,173.88
1980-02-29,175.02606111304152,175.02591884201107,173.45,174.44593203194154,174.4470773165619,175.68
1980-03-05,187.50632706422851,187.50614261529122,187.5,187.73268228903711,187.7310880005032,189.13
1980-03-07,180.98287745137668,180.98271482700662,178.05,181.7007337478948,181.70062454545808,185.37
1980-03-12,185.43163611424188,185.4314583216998,184.7,185.49238069462416,185.49107778305134,186.88
1980-03-25,186.34353323375126,186.34335279500758,188.2,186.46035976988108,186.45905096074532,187.7
1980-03-27,186.59070358941125,186.5905242031784,185.6,186.3377748419613,186.3371914258068,187.58
1980-03-31,181.40569118260015,181.40552481776982,181.55,181.5754938785735,181.57416247848056,182.25
1980-04-10,184.73984933293048,184.73967608478566,189.53,184.3671353555478,184.36690588784884,185.72
1980-04-15,185.22930247248786,185.22912910913297,184.47,184.50166636675996,184.50195298459442,185.43
1980-04-16,184.32663165420053,184.32645865758596,184.47,184.01672115861726,184.01608545038033,184.83
1980-04-18,183.6748526513005,183.67468227134034,184.47,183.24241009559037,183.2420890988979,183.8
1980-04-28,179.20300401969564,179.20284445861768,181.65,179.26060543494512,179.25947628704333,178.79
1980-05-01,178.1107687847748,178.11061661611026,174.8,178.1724193357736,178.17319704866748,180.15
1980-05-02,182.8038557447082,182.8036926883128,184.88,182.78045681977932,182.78236277677664,185.39
1980-05-05,187.27432427046853,187.2741492242291,184.6,186.73132876030655,186.7335126733325,188.86
1980-05-16,197.97538352926279,197.97517322720674,196.05,197.45054649039972,197.45067551699594,198.11
1980-05-28,197.09161611175216,197.09140822807973,198.5,196.6958613556776,196.69596133899591,197.5
1980-05-30,194.2361656026855,194.23596184684143,192.5,194.51817050104958,194.51657225809873,194.05
1980-06-13,190.61109806739546,190.6109081005067,192.35,190.47754200534348,190.4773967636142,189.61
1980-06-16,183.757268175192,183.75709014052705,184.6,185.11159992246607,185.10826034269238,182.61
1980-06-24,174.6065453957508,174.60640812025818,174.15,174.31125102751128,174.314139930995,174.67
1980-07-01,171.01291574439182,171.01278072590654,169.45,171.33005586423718,171.3294539491984,171.0
1980-07-02,168.19859970425205,168.1984739724518,169.1,168.0877113868131,168.0875858268795,166.75
1980-07-07,166.81997398921408,166.81985271807937,166.5,166.64645485362556,166.64654759229225,168.07
1980-07-08,159.44771956703784,159.4476058318484,162.05,162.10026566352443,162.09475795117768,160.22
1980-07-21,160.1643366999009,160.1642387169501,160.15,159.48631252398934,159.48820926588226,160.19
1980-08-05,142.15742466306529,142.1573830828298,140.69,141.66656518052616,141.67064924930222,144.12
1980-08-08,139.5922285379774,139.59217019341833,138.6,142.9172349427989,142.91117574334,138.77
1980-08-13,142.37550089572557,142.37544824210875,141.1,142.52234752044154,142.52186668706375,142.13
1980-08-15,148.99931107365995,148.99924551236623,149.14,148.37872679151909,148.38082981474435,149.39
